source,title,abstract,journal,publication_date,authors,mesh_terms,doi,pmid,url
PubMed,[Not Available].,,Revue de l'infirmiere,2025,Brion Nadège,,10.1016/j.revinf.2024.12.017,39922619,https://pubmed.ncbi.nlm.nih.gov/39922619/
PubMed,[Difelikefalin and treatment of severe pruritus associated with chronic kidney disease Real-life retrospective study in a dialysis center].,"Difelikefalin is to date the first and only specific treatment to be approved for the treatment of moderate-to-severe chronic kidney disease-associated pruritus (CKD-aP) in adult patients on hemodialysis. This was a retrospective, single-center, real-life study in hemodialysis patients with CKD-aP treated with difelikefalin. The primary objective was to evaluate the evolution of the intensity of pruritus during treatment with difelikefalin using the Worst Itch Intensity-Numerical Rating Scale (WI-NRS). Adult patients were included if they had been on hemodialysis for at least 3 months and were suffering from moderate to severe CKD-aP (objectified by the WI-NRS score) for which difelikefalin had been prescribed. 11 patients (7 men and 4 women; mean age, 63.8 years) with a mean (SD) weekly dialysis time of 13 h (2.4) were included. The mean hemodialysis duration was 5 (3.6) years and the mean pruritus duration was 4.3 (3.2) years. At inclusion, on-going treatments of CKD-aP were emollients in all patients and antihistamines in 9 patients. The mean WI-NRS score was 7.4 (1.1) at initiation of difelikefalin. At last assessment after a median follow-up of 9.0 months, the mean change of WI-NRS score was -5.1 (2.9) and 82% of patients had a decrease ≥ 3 points. Mild to moderate adverse reactions to difelikefalin were reported in 4 patients, all of whom recovered without sequelae. These results show that difelikefalin, prescribed according to its therapeutic indication, is effective in the treatment of CKD-aP under real-life conditions, outside the controlled conditions of a clinical trial. La difélikéfaline est à ce jour le premier et le seul traitement spécifique approuvé pour le traitement du prurit d’intensité modérée à sévère associé à la maladie rénale chronique (Pa-MRC) chez les patients adultes hémodialysés. Il s’agit d’une étude rétrospective, monocentrique, en vie réelle, chez des patients hémodialysés souffrant de Pa-MRC et traités par difélikéfaline. L’objectif principal était d’évaluer l’évolution de l’intensité du prurit au cours du suivi à l’aide de l’échelle WI-NRS (Worst Itch Intensity-Numerical Rating Scale). Les patients adultes ont été inclus s’ils étaient hémodialysés depuis au moins trois mois et souffraient d’un Pa-MRC modéré à sévère (objectivé par le score WI-NRS) pour lequel la difélikéfaline avait été prescrite. Onze patients (7 hommes et 4 femmes ; âge moyen : 63,8 ans) avec un temps de dialyse hebdomadaire moyen (SD) de 13 heures (2,4) ont été inclus. La durée moyenne d’hémodialyse était de 5 ans (3,6) et la durée moyenne de prurit de 4,3 ans (3,2). À l’inclusion, les traitements du prurit en cours étaient des émollients pour tous les patients et des antihistaminiques pour 9 d’entre eux. Le score WI-NRS moyen était de 7,4 (1,1) au début du traitement par la difélikéfaline. À la dernière évaluation, après un suivi médian de 9 mois, la variation moyenne du score WI-NRS était de -5,1 (2,9) et 82 % des patients avaient une diminution ≥ 3 points. Des effets indésirables d’intensité légère à modérée liés à la difélikéfaline ont été rapportés chez 4 patients, tous rétablis sans séquelles. Ces résultats montrent que la difélikéfaline, prescrite conformément à son indication thérapeutique, est efficace en vie réelle dans le traitement du Pa-MRC, en dehors des conditions contrôlées d’un essai clinique.",Nephrologie & therapeutique,2024,Brasme Rémi; Cartery Claire; Goubet Marlène; Hennino Marie-Flore; Maisonneuve Nathalie,"Humans; Pruritus; Female; Male; Retrospective Studies; Middle Aged; Renal Dialysis; Renal Insufficiency, Chronic; Aged; Severity of Illness Index; Treatment Outcome",10.1684/ndt.2024.78,39917796,https://pubmed.ncbi.nlm.nih.gov/39917796/
PubMed,[Patient with type 2 diabetes and progressive chronic kidney disease].,"Chronic kidney disease (CKD) is a common and severe complication in patients with type 2 diabetes (T2D). While inhibitors of the renin-angiotensin system remained for a long time the only medications that had proven nephroprotective effects, several other pharmacological classes also recently showed such a benefit : sodium-glucose cotransporter type 2 (SGLT2) inhibitors (gliflozins), glucagon-like peptide-1 receptor agonists (semaglutide), and mineralocorticoid receptor antagonists (MRA, finerenone). This clinical vignette aims at explaining the pharmacotherapy strategy for a patient with T2D who presents a progressive CKD. The interest of prescribing a combination of several medications with complementary actions that had proven a nephroprotection is emphasized. La maladie rénale chronique (MRC) représente une complication fréquente et grave affectant les patients vivant avec un diabète de type 2 (DT2). Alors que les inhibiteurs du système rénine-angiotensine sont restés longtemps les seuls médicaments à avoir démontré une néphroprotection indiscutable, plusieurs autres classes pharmacologiques ont récemment prouvé un tel bénéfice : les inhibiteurs des cotransporteurs sodium-glucose de type 2 (iSGLT2 ou gliflozines), les agonistes des récepteurs du glucagon-like peptide-1 (sémaglutide) et les antagonistes des récepteurs aux minéralocorticoïdes (finérénone). Cette vignette clinique a pour but d’expliquer le cheminement de la pharmacothérapie d’un patient avec un DT2 qui présente une MRC évolutive et d’insister sur l’intérêt d’une combinaison de médicaments néphroprotecteurs à action complémentaire.",Revue medicale de Liege,2025,Scheen André; Delanaye Pierre,"Humans; Diabetes Mellitus, Type 2; Renal Insufficiency, Chronic; Disease Progression; Diabetic Nephropathies; Sodium-Glucose Transporter 2 Inhibitors; Mineralocorticoid Receptor Antagonists; Hypoglycemic Agents; Male",,39815707,https://pubmed.ncbi.nlm.nih.gov/39815707/
PubMed,[Peritoneal dialysis in treatment of end-stage renal disease].,"PERITONEAL DIALYSIS IN THE TREATMENT OF END-STAGE RENAL DISEASE. Peritoneal dialysis (PD) is a replacement therapy for patients with stage 5 chronic kidney disease (CKD5). Its use varies from country to country. In France, only 11% of CKD5 patients are treated with PD, with great disparity between regions, the majority being supported with center hemodialysis (HD). Yet this treatment offers many advantages. It is a home-based treatment, allowing greater autonomy, and easy for patients to learn. In the event of incapacity, assistance can be provided by a nurse or a relative. No vascular approach is required. Its effectiveness in terms of patient survival is at least identical to that of HD patients. It is vital that all patients at MRC4 or 5 stage should be managed within the care pathway recommended by Haute Autorité de santé, so that they can benefit, among other things, from informed pre-dialysis information on the different dialysis modalities. DIALYSE PÉRITONÉALE DANS LE TRAITEMENT DE LA MALADIE RÉNALE CHRONIQUE TERMINALE. La dialyse péritonéale (DP) est un traitement de suppléance des patients atteints de maladie rénale chronique de stade 5 (MRC5). Son utilisation est variable d’un pays à l’autre. En France, seulement 11 % des patients atteints de MRC5 sont traités par DP avec une grande disparité interrégionale, la majorité étant prise en charge en centre d’hémodialyse (HD). Pourtant, la DP offre de nombreux avantages. C’est un traitement à domicile permettant ainsi plus d’autonomie et facile à apprendre par le patient. En cas d’incapacité, une assistance par une infirmière ou un proche peut être mise en place. Il n’y a pas de nécessité de voie d’abord vasculaire. Son efficacité en matière de survie des patients est au moins identique à celle des patients en HD. Il est capital que tous les patients au stade de MRC 4 ou 5 soient pris en charge dans le parcours de soins recommandé par la Haute Autorité de santé afin de bénéficier entre autres d’une information pré-dialyse éclairée sur les différentes techniques existantes.",La Revue du praticien,2024,Beaudreuil Séverine,"Humans; Kidney Failure, Chronic; Peritoneal Dialysis; France",,39625014,https://pubmed.ncbi.nlm.nih.gov/39625014/
PubMed,[Association between iron deficiency and risk of major events in chronic kidney disease].,"Iron deficiency (ID) is common in patients with chronic kidney disease (CKD) but remains under-diagnosed and its prognosis poorly documented in the absence of anemia. The aim of the study was to assess the relationship between ID and the risk of major adverse outcomes in patients with CKD. Using data from the French Chronic Kidney Disease - Renal Epidemiology and Information Network (CKD-REIN) cohort which included and followed over five years, 3,033 patients with CKD stages 2 to 5 CKD, we estimated the prevalence of ID, defined by a ferritin level < 100 μg/L and/or a transferrin saturation < 20%, and associated hazard ratios (HR) of kidney failure with replacement therapy, kidney failure defined by an eGFR < 15 mL/min per 1.73 m2 or initiation of kidney replacement therapy, all-cause mortality, and death or hospitalization for heart failure. Baseline prevalence of ID in the cohort (66% men; mean age 67 ± 13 years) was 50% (48-52). Mean hemoglobin was 13 ± 1.7 g/dL, and only 31% of patients with ID also had a hemoglobin < 12 g/dL. In 2,803 patients with CKD stages 2-4 at baseline, ID was associated with significant increased risk of kidney failure, and of kidney failure with replacement therapy, with HRs adjusted for confounders and hemoglobin level of 1.22 (1.03-1.45) and 1.57 (1.27-1.94), respectively. Adjusted HRs for all-cause mortality and hospitalization or death for heart failure, were 1.31 (1.04-1.66) and 1.38 (1.07-1.80), respectively. This study shows that ID is significantly associated with the risk for kidney failure, all-cause mortality, and heart failure, independent of the presence of anemia. La carence martiale (CM) est fréquente chez les patients atteints de maladie rénale chronique (MRC), mais reste sous-diagnostiquée et son pronostic mal documenté en l’absence d’anémie. L’étude visait à évaluer la relation entre la CM et le risque d’événements majeurs chez les patients atteints de MRC. Dans la cohorte française Chronic Kidney Disease – Renal Epidemiology and Information Network (CKD-REIN), qui a inclus et suivi pendant cinq ans 3 033 patients atteints de MRC de stades 2 à 5, nous avons estimé la prévalence de la CM, définie par un taux de ferritinémie < 100 μg/L et/ou un coefficient de saturation de la transferrine < 20 %, et les hazard ratios (HR) associés de défaillance rénale avec traitement de suppléance, de défaillance rénale définie par un eGFR < 15 mL/min pour 1,73 m2 ou l’initiation d’un traitement de suppléance, de mortalité et d’insuffisance cardiaque. La prévalence de la CM à l’inclusion dans la cohorte (66 % d’hommes ; âge moyen 67 ± 13 ans) était de 50 % (48-52). Le taux moyen d’hémoglobine était de 13 ± 1,7 g/dL et seuls 31 % des patients avec une CM avaient une hémoglobine < 12 g/dL. Chez les 2 803 patients avec une MRC stades 2-4 à l’inclusion, la CM était associée à une augmentation significative du risque de défaillance rénale et de défaillance rénale avec traitement de suppléance, avec des HR ajustés sur les facteurs de confusion et le taux d’hémoglobine respectivement de 1,22 (1,03-1,45) et 1,57 (1,27-1,94). Les HR ajustés de mortalité toutes causes, et d’hospitalisation ou de décès pour une insuffisance cardiaque liés à la CM étaient respectivement de 1,31 (1,04-1,66), et 1,38 (1,07-1,80). Cette étude montre que la CM est associée au risque de défaillance rénale, de mortalité et d’insuffisance cardiaque indépendamment de la présence, ou non, d’une anémie.",Nephrologie & therapeutique,2024,Choukroun Gabriel; Baghdadi Yasmine; Rabiéga Pascaline; Cazaubon Elise; Maillet Serge; Frimat Luc; Stengel Bénédicte,"Humans; Male; Female; Renal Insufficiency, Chronic; Aged; Middle Aged; France; Anemia, Iron-Deficiency; Cohort Studies; Prevalence; Heart Failure; Ferritins; Risk Factors; Iron Deficiencies; Glomerular Filtration Rate",10.1684/ndt.2024.91,39559991,https://pubmed.ncbi.nlm.nih.gov/39559991/
PubMed,[Uremic pericarditis in a not-so-terminal chronic kidney disease].,"A 90-year-old patient with chronic kidney disease (stage G4) was diagnosed with pneumonia and congestive heart failure. Despite treatment with levofloxacin and furosemide, his condition deteriorated. A CT scan of the chest revealed pericardial effusion, leading to the suspicion of uremic pericarditis. Daily hemodialysis was started, resulting in significant clinical and biological improvement. Uremic pericarditis due to accumulation of uremic toxins resulting in pericardial effusion is common in end-stage renal disease. Diagnosis is guided by clinical and paraclinical findings and a high index of suspicion. Early recognition and treatment remain critical to prevent complications even in pre-end stage renal disease.",Revue medicale suisse,2024,Coulibaly Zeinabou; Ngatchou Nadine; Tataw James,"Humans; Pericarditis; Male; Aged, 80 and over; Renal Insufficiency, Chronic; Uremia; Renal Dialysis; Pericardial Effusion; Heart Failure; Kidney Failure, Chronic; Tomography, X-Ray Computed",10.53738/REVMED.2024.20.894.2081,39506481,https://pubmed.ncbi.nlm.nih.gov/39506481/
PubMed,[Management of chronic kidney disease in primary care: New practical guidelines in primary care].,"Chronic kidney disease is often encountered in clinical practice, affecting between 8 and 16% of the world's population. Screening for CKD represents a major challenge for patients, given the increase in morbidity and mortality associated with the disease, as well as a public health issue in terms of slowing the progression to end-stage renal failure, which requires costly replacement treatments (dialysis and transplantation). The new KDIGO guidelines suggest aiming for optimal control of the cardiovascular risk factors associated with chronic kidney disease, in particular with the help of emerging treatments such as SGLT2 inhibitors. This article summarises the latest nephroprotection recommendations for primary care physicians. La maladie rénale chronique est fréquemment rencontrée en pratique clinique et touche 8 à 16 % de la population mondiale. Son dépistage représente un enjeu considérable pour les patients du fait de l’augmentation de la morbidité et de la mortalité qui y sont liées, ainsi qu’un enjeu de santé publique dans le ralentis­sement de la progression vers l’insuffisance rénale terminale nécessitant des traitements substitutifs coûteux (dialyse, transplantation). Les nouvelles guidelines KDIGO proposent de viser un contrôle optimal des facteurs de risque cardiovasculaire associés à la maladie rénale chronique, notamment à l’aide de traitements émergents tels que les inhibiteurs du SGLT2. Cet article propose une synthèse des dernières recommandations dans la néphroprotection à l’intention des médecins de premier recours.",Revue medicale suisse,2024,Silvano Anna; Di Taranto Paolo; Fiorentini Sarah; De Seigneux Sophie; Senchyna Arun,"Humans; Primary Health Care; Practice Guidelines as Topic; Renal Insufficiency, Chronic",10.53738/REVMED.2024.20.888.1687,39323269,https://pubmed.ncbi.nlm.nih.gov/39323269/
PubMed,Screening and Diagnosis of Chronic Kidney Disease in Adults Living With Diabetes: A Retrospective Cohort Study Using the Canadian Primary Care Sentinel Surveillance Network.,"In Canada, regional evaluations of screening practices for chronic kidney disease (CKD) among people with diabetes highlight areas for improvement; however, national estimates are notably absent. Estimates of CKD incidence often discount the expected decline in estimated glomerular filtration rate (eGFR) associated with age; age-adaptive thresholds may help account for this. We describe the frequency of screening and diagnosis of CKD among adults with diabetes from a nationally representative primary care cohort. In this retrospective cohort study, we used electronic medical record data from the Canadian Primary Care Sentinel Surveillance Network. We followed adult patients (≥18 years of age) with diabetes without CKD at baseline for 5 years starting in 2014. We determined the frequency of urine albumin-to-creatinine ratio (uACr) and/or eGFR testing over time. We identified incident CKD diagnoses based on eGFR measurements using fixed-threshold and age-adaptive definitions and quantified the incidence proportion and rate. We analyzed records from 37,604 patients with diabetes. Only 13% of patients had yearly eGFR and uACr testing for CKD, although roughly 60% had non-yearly use of both tests in 5 years. eGFR testing was performed more frequently than uACr testing (94.1% vs 76.6% having testing over follow-up). We found increased incidence proportions (14.6% vs 6.0%) and rates (33.1 vs 13.4 diagnoses per 1,000 person-years) of CKD using the fixed-threshold compared with age-adaptive definition. Our study presents the first national understanding of screening practices for CKD among people with diabetes in Canada. Specifically, increased use of uACr testing should be encouraged for early detection of changes in kidney function.",Canadian journal of diabetes,2024,Black Jason E; Campbell David J T; Ronksley Paul E; McBrien Kerry A; Williamson Tyler S,"Humans; Retrospective Studies; Male; Female; Renal Insufficiency, Chronic; Canada; Middle Aged; Adult; Primary Health Care; Aged; Glomerular Filtration Rate; Sentinel Surveillance; Mass Screening; Diabetes Mellitus; Incidence; Follow-Up Studies",10.1016/j.jcjd.2024.08.001,39134119,https://pubmed.ncbi.nlm.nih.gov/39134119/
PubMed,[Characteristics and needs of patients requiring nephrology care: A review of the literature].,"Chronic kidney disease (CKD) is a public health problem. However, the management of patients with CKD is confined to the diagnosis of the disease and its conventional treatment by dialysis or renal transplantation. The aim of this article is to describe the specific characteristics of patients suffering from kidney disease and to determine their needs according to the stage of their renal disease.",Soins; la revue de reference infirmiere,2024,Bouzid Mohammed; Sqalli Houssaini Tarik,"Humans; Health Services Needs and Demand; Renal Insufficiency, Chronic; Renal Dialysis",10.1016/j.soin.2024.05.006,39019509,https://pubmed.ncbi.nlm.nih.gov/39019509/
PubMed,[Detection and diagnosis of chronic kidney disease to take action as early as stage 3].,"DETECTION AND DIAGNOSIS OF CHRONIC KIDNEY DISEASE TO TAKE ACTION AS EARLY AS STAGE 3. The prevalence of chronic kidney disease (CKD) is constantly increasing. The considerable impact of CKD on all-cause mortality, cardiovascular morbidity and on health economy makes it a real public health issue. Early detection helps to prevent progression to advanced stages of the disease. Targeted screening in populations at risk is recommended, with the use of 3 tests: serum creatinine, estimation of GFR and measurement of albumin/creatinine ratios. Once diagnosed, management of CKD involves nephroprotective measures such as blood pressure management, correction of metabolic complications, and prevention of drug toxicity. The general practitioner has a central role in the screening and initial management of CKD. DÉPISTAGE ET DIAGNOSTIC DE LA MALADIE RÉNALE CHRONIQUE POUR AGIR DÈS LE STADE 3. La prévalence de la maladie rénale chronique (MRC) est en constante augmentation. L’impact considérable de la MRC sur la mortalité toutes causes, sur la morbidité cardiovasculaire et sur l’économie de la santé en fait un véritable enjeu de santé publique. Le dépistage précoce permet de prévenir la progression vers des stades avancés de la maladie. Le dépistage ciblé chez les populations à risque est recommandé, avec l’utilisation de trois tests : créatininémie, estimation du débit de filtration glomérulaire (DFG) et mesure du rapport albumine/créatinine (RAC). Une fois diagnostiquée, la prise en charge de la MRC implique des mesures de néphroprotection telles que la gestion de la pression artérielle, la correction des complications métaboliques et la limitation de la toxicité médicamenteuse. Le médecin généraliste joue un rôle central dans le dépistage et la prise en charge initiale de la MRC.",La Revue du praticien,2024,Fatouma Touré,"Humans; Renal Insufficiency, Chronic; Early Diagnosis; Glomerular Filtration Rate; Disease Progression; Creatinine; Severity of Illness Index",,39011716,https://pubmed.ncbi.nlm.nih.gov/39011716/
